"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor"
"PL5364",1997,14,135,98,369,131,7220,"1988",72,2,"services"
"PL5364",1999,18,216,183,381,158,7220,"1988",72,2,"services"
"PL5364",1998,15,159,137,360,127,7220,"1988",72,2,"services"
"PL5368",1996,767,2484,2440,13815,5253,4521,"1961",45,1,"manufacturing"
"PL5368",1997,647,1357,1133,10392,4553,4521,"1961",45,1,"manufacturing"
"PL5372",1998,657,10307,5245,30518,29057,3162,"1948",31,1,"manufacturing"
"PL5372",1999,636,12455,6146,37081,31948,3162,"1948",31,1,"manufacturing"
"PL5372",1996,710,9339,4330,24709,28238,3162,"1948",31,1,"manufacturing"
"PL5372",2001,535,7338,5252,14888,21599,3162,"1948",31,1,"manufacturing"
"PL5372",1997,669,9466,4061,28062,26972,3162,"1948",31,1,"manufacturing"
"PL5372",2000,535,10664,5934,26209,24921,3162,"1948",31,1,"manufacturing"
"PL5377",1999,183,3109,1919,51093,8713,6322,"1957",63,2,"services"
"PL5377",1996,219,1627,1110,34865,11795,6322,"1957",63,2,"services"
"PL5377",2000,179,2618,1979,64861,8976,6322,"1957",63,2,"services"
"PL5378",1999,214,2186,1433,12581,4728,4521,"1976",45,1,"manufacturing"
"PL5378",2001,230,2282,1558,13564,7209,4521,"1976",45,1,"manufacturing"
"PL5378",2000,230,2162,1583,14852,4912,4521,"1976",45,1,"manufacturing"
"PL5385",1998,288,3360,3188,34418,15652,5118,"1993",51,2,"services"
"PL5385",1999,288,5160,4581,37180,16022,5118,"1993",51,2,"services"
"PL5385",2000,319,7071,5500,40351,21695,5118,"1993",51,2,"services"
"PL5398",2000,3,289,57,300,2218,7020,"1990",70,2,"services"
"PL5398",1999,2,1980,403,6407,1574,7020,"1990",70,2,"services"
"PL5398",1998,74,823,561,11801,3401,7020,"1990",70,2,"services"
"PL5412",1999,526,3109,2575,9137,4208,2862,"1886",28,1,"manufacturing"
"PL5412",1997,544,2950,1975,9208,4537,2862,"1886",28,1,"manufacturing"
"PL5412",2000,528,3522,3042,11062,4496,2862,"1886",28,1,"manufacturing"
"PL5415",2000,269,7074,2726,34888,12827,2121,"1988",21,1,"manufacturing"
